id,museum,name,inventory,size,details,era,technique,category,image_url,author,number_of_volume,engraved_or_handcopied
7158,上海博物馆,冯玉衡 幽屏雪鸿图书画合卷,,,,清,,绘画,,,,
7159,上海博物馆,朱耷 山水湖石图轴,,,,清,,绘画,,,,
7160,上海博物馆,朱耷 花卉卷,,,,清,,绘画,,,,
7161,上海博物馆,朱日藩 草书帆湖荷花荡诗卷,,,,明,,书法,,,,
7162,上海博物馆,林良 竹禽图轴,,,,明,,绘画,,,,
7163,上海博物馆,谢时臣 溪山岁晚图轴,,,,明,,绘画,,,,
7164,上海博物馆,钱黯 仿巨然夏山高隐图轴,,,,清,,绘画,,,,
7165,上海博物馆,吴兴祚 草书七绝诗轴,,,,清,,书法,,,,
7166,上海博物馆,龚鼎孳 行诗七律诗轴,,,,清,,书法,,,,
7167,上海博物馆,钱又迅 草书七律诗轴,,,,清,,书法,,,,
7168,上海博物馆,许从隆 松石图轴,,,,明,,绘画,,,,
7169,上海博物馆,徐世昌 临书谱卷,,,,近现代,,书法,,,,
7170,上海博物馆,谢稚柳 林鸟鸣秋图轴,,,,近现代,,绘画,,,,
7171,上海博物馆,吴伟业 墨梅图卷,,,,清,,绘画,,,,
7172,上海博物馆,张熊 端阳清供图轴,,,,清,,绘画,,,,
7173,上海博物馆,祁豸佳 仿董源山水轴,,,,明,,绘画,,,,
7174,上海博物馆,史颜节 溪山石竿图轴,,,,清,,绘画,,,,
7175,上海博物馆,吴文华 草书七律诗轴,,,,明,,书法,,,,
7176,上海博物馆,佚名 渔舟唱晚图轴,,,,明,,绘画,,,,
7177,上海博物馆,王梌 菊石公鸡图轴,,,,清,,绘画,,,,
7178,上海博物馆,曹学佺 草书七言诗扇页,,,,明,,书法,,,,
7179,上海博物馆,黄壁如 行书七律诗轴,,,,清,,书法,,,,
